"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (CAD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (CAD)","Link clicks",shop_clicks,"CPC (cost per link click) (CAD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (CAD)","Landing page views","Cost per landing page view (CAD)"
2026-03-15,2026-04-13,"Img 15 | Specs Get Decided Without You",inactive,"7-day click, 1-day view or 1-day engaged view",,,25,1.08,,"Using campaign budget",0,2.58,Ongoing,-,-,-,27,95.555556,2,,1.29,7.407407,2,7.407407,1.29,,
2026-03-15,2026-04-13,"Img 23 | Monday Morning: Pipeline Control",inactive,"7-day click, 1-day view or 1-day engaged view",,,95,1.126316,,"Using campaign budget",0,11.81,Ongoing,-,-,-,107,110.373832,12,,0.984167,11.214953,11,10.280374,1.073636,,
2026-03-15,2026-04-13,"Img 6 | You're not losing bids",inactive,"7-day click, 1-day view or 1-day engaged view",,,8,1.25,,"Using campaign budget",0,0.63,Ongoing,-,-,-,10,63,1,,0.63,10,1,10,0.63,,
2026-03-15,2026-04-13,"Img 2 | Specs Lock Fast",inactive,"7-day click, 1-day view or 1-day engaged view",,,15,1,,"Using campaign budget",0,1.44,Ongoing,-,-,-,15,96,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 14 | The Spec Window Is Where You Win",inactive,"7-day click, 1-day view or 1-day engaged view",,,33,1,,"Using campaign budget",0,1.84,Ongoing,-,-,-,33,55.757576,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 2 | Specs Lock Fast",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,18,1,,"Using campaign budget",0,0.67,Ongoing,-,-,-,18,37.222222,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 14 | The Spec Window Is Where You Win",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,275,1.087273,,"Using campaign budget",0,36.31,Ongoing,-,-,-,299,121.438127,23,,1.578696,7.692308,21,7.023411,1.729048,13,2.793077
2026-03-15,2026-04-13,"Img 24 | Stop Buying Bids",inactive,"7-day click, 1-day view or 1-day engaged view",,,3,1,,"Using campaign budget",0,0.19,Ongoing,-,-,-,3,63.333333,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 27 | Your Competitor Is Already in the Plans",inactive,"7-day click, 1-day view or 1-day engaged view",,,13,1,,"Using campaign budget",0,0.6,Ongoing,-,-,-,13,46.153846,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 27 | Your Competitor Is Already in the Plans",inactive,"7-day click, 1-day view or 1-day engaged view",,,62,1.032258,,"Using campaign budget",0,6.44,Ongoing,-,-,-,64,100.625,3,,2.146667,4.6875,3,4.6875,2.146667,1,6.44
2026-03-15,2026-04-13,"Img 21 | Competitor Is Already In",inactive,"7-day click, 1-day view or 1-day engaged view",,,7,1.142857,,"Using campaign budget",0,0.53,Ongoing,-,-,-,8,66.25,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 8 | If It’s On a Bid Board, It’s Too Late",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,117,1.145299,,"Using campaign budget",0,14.27,Ongoing,-,-,-,134,106.492537,6,,2.378333,4.477612,8,5.970149,1.78375,4,3.5675
2026-03-15,2026-04-13,"Img 5 | Don't be the lowest bid",inactive,"7-day click, 1-day view or 1-day engaged view",,,21,1,,"Using campaign budget",0,1.6,Ongoing,-,-,-,21,76.190476,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 22 | Bid Time = Too Late",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,284,1.190141,,"Using campaign budget",0,28.17,Ongoing,-,-,-,338,83.343195,8,,3.52125,2.366864,12,3.550296,2.3475,4,7.0425
2026-03-15,2026-04-13,"Img 29 | Stop Walking Into Price Wars",inactive,"7-day click, 1-day view or 1-day engaged view",,,3,1,,"Using campaign budget",0,0.11,Ongoing,-,-,-,3,36.666667,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 19 | The Unfair Advantage",inactive,"7-day click, 1-day view or 1-day engaged view",,,39,1.205128,,"Using campaign budget",0,1.75,Ongoing,-,-,-,47,37.234043,1,,1.75,2.12766,1,2.12766,1.75,,
2026-03-15,2026-04-13,"Img 9 | No Dashboards",inactive,"7-day click, 1-day view or 1-day engaged view",,,22,1.045455,,"Using campaign budget",0,1.79,Ongoing,-,-,-,23,77.826087,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 5 | Don't be the lowest bid",inactive,"7-day click, 1-day view or 1-day engaged view",,,16,1.125,,"Using campaign budget",0,0.5,Ongoing,-,-,-,18,27.777778,1,,0.5,5.555556,1,5.555556,0.5,,
